   1: notes = 100000000000, scaleid = A01, rotationid = 0, modeid = A001, inverse = A001, scalename = C
 466: notes = 101011010000, scaleid = E47, rotationid = 3, modeid = E150, inverse = E307, scalename = 22125
 467: notes = 101101000010, scaleid = E47, rotationid = 4, modeid = E132, inverse = E198, scalename = 21252
 468: notes = 110011001000, scaleid = E48, rotationid = 0, modeid = E067, inverse = E288, scalename = 13134
 469: notes = 100110010001, scaleid = E48, rotationid = 1, modeid = E219, inverse = E095, scalename = 31341
 470: notes = 110010001100, scaleid = E48, rotationid = 2, modeid = E080, inverse = E222, scalename = 13413
 471: notes = 100100011001, scaleid = E48, rotationid = 3, modeid = E253, inverse = E068, scalename = 34131
 472: notes = 100011001100, scaleid = E48, rotationid = 4, modeid = E270, inverse = E216, scalename = 41313
 473: notes = 110011000100, scaleid = E49, rotationid = 0, modeid = E068, inverse = E253, scalename = 13143
 474: notes = 100110001001, scaleid = E49, rotationid = 1, modeid = E222, inverse = E080, scalename = 31431
 475: notes = 110001001100, scaleid = E49, rotationid = 2, modeid = E095, inverse = E219, scalename = 14313
 476: notes = 100010011001, scaleid = E49, rotationid = 3, modeid = E288, inverse = E067, scalename = 43131
 477: notes = 100110011000, scaleid = E49, rotationid = 4, modeid = E216, inverse = E270, scalename = 31314
 478: notes = 110011000010, scaleid = E50, rotationid = 0, modeid = E069, inverse = E197, scalename = 13152
 479: notes = 100110000101, scaleid = E50, rotationid = 1, modeid = E224, inverse = E059, scalename = 31521
 480: notes = 110000101100, scaleid = E50, rotationid = 2, modeid = E105, inverse = E215, scalename = 15213
 481: notes = 100001011001, scaleid = E50, rotationid = 3, modeid = E308, inverse = E066, scalename = 52131
 482: notes = 101100110000, scaleid = E50, rotationid = 4, modeid = E134, inverse = E303, scalename = 21315
 483: notes = 110010110000, scaleid = E51, rotationid = 0, modeid = E071, inverse = E302, scalename = 13215
 484: notes = 100101100001, scaleid = E51, rotationid = 1, modeid = E230, inverse = E102, scalename = 32151
 485: notes = 101100001100, scaleid = E51, rotationid = 2, modeid = E143, inverse = E223, scalename = 21513
 486: notes = 110000110010, scaleid = E51, rotationid = 3, modeid = E103, inverse = E174, scalename = 15132
 487: notes = 100001100101, scaleid = E51, rotationid = 4, modeid = E304, inverse = E050, scalename = 51321
 488: notes = 110010101000, scaleid = E52, rotationid = 0, modeid = E072, inverse = E282, scalename = 13224
 489: notes = 100101010001, scaleid = E52, rotationid = 1, modeid = E234, inverse = E092, scalename = 32241
 490: notes = 101010001100, scaleid = E52, rotationid = 2, modeid = E164, inverse = E221, scalename = 22413
 491: notes = 101000110010, scaleid = E52, rotationid = 3, modeid = E187, inverse = E173, scalename = 24132
 492: notes = 100011001010, scaleid = E52, rotationid = 4, modeid = E271, inverse = E160, scalename = 41322
 493: notes = 110010100100, scaleid = E53, rotationid = 0, modeid = E073, inverse = E247, scalename = 13233
 494: notes = 100101001001, scaleid = E53, rotationid = 1, modeid = E237, inverse = E077, scalename = 32331
 495: notes = 101001001100, scaleid = E53, rotationid = 2, modeid = E179, inverse = E218, scalename = 23313
 496: notes = 100100110010, scaleid = E53, rotationid = 3, modeid = E243, inverse = E172, scalename = 33132
 497: notes = 100110010100, scaleid = E53, rotationid = 4, modeid = E217, inverse = E235, scalename = 31323
 498: notes = 110010100010, scaleid = E54, rotationid = 0, modeid = E074, inverse = E191, scalename = 13242
 499: notes = 100101000101, scaleid = E54, rotationid = 1, modeid = E239, inverse = E056, scalename = 32421
 500: notes = 101000101100, scaleid = E54, rotationid = 2, modeid = E189, inverse = E214, scalename = 24213
 501: notes = 100010110010, scaleid = E54, rotationid = 3, modeid = E278, inverse = E171, scalename = 42132
 502: notes = 101100101000, scaleid = E54, rotationid = 4, modeid = E135, inverse = E283, scalename = 21324
 503: notes = 110010011000, scaleid = E55, rotationid = 0, modeid = E076, inverse = E272, scalename = 13314
 504: notes = 100100110001, scaleid = E55, rotationid = 1, modeid = E244, inverse = E088, scalename = 33141
 505: notes = 100110001100, scaleid = E55, rotationid = 2, modeid = E220, inverse = E220, scalename = 31413
 506: notes = 110001100100, scaleid = E55, rotationid = 3, modeid = E088, inverse = E244, scalename = 14133
 507: notes = 100011001001, scaleid = E55, rotationid = 4, modeid = E272, inverse = E076, scalename = 41331
 508: notes = 110010010100, scaleid = E56, rotationid = 0, modeid = E077, inverse = E237, scalename = 13323
 509: notes = 100100101001, scaleid = E56, rotationid = 1, modeid = E247, inverse = E073, scalename = 33231
 510: notes = 100101001100, scaleid = E56, rotationid = 2, modeid = E235, inverse = E217, scalename = 32313
 511: notes = 101001100100, scaleid = E56, rotationid = 3, modeid = E172, inverse = E243, scalename = 23133
 512: notes = 100110010010, scaleid = E56, rotationid = 4, modeid = E218, inverse = E179, scalename = 31332
 513: notes = 110010010010, scaleid = E57, rotationid = 0, modeid = E078, inverse = E181, scalename = 13332
 514: notes = 100100100101, scaleid = E57, rotationid = 1, modeid = E249, inverse = E052, scalename = 33321
 515: notes = 100100101100, scaleid = E57, rotationid = 2, modeid = E245, inverse = E213, scalename = 33213
 516: notes = 100101100100, scaleid = E57, rotationid = 3, modeid = E228, inverse = E242, scalename = 32133
 517: notes = 101100100100, scaleid = E57, rotationid = 4, modeid = E136, inverse = E248, scalename = 21333
 518: notes = 110010001010, scaleid = E58, rotationid = 0, modeid = E081, inverse = E166, scalename = 13422
 519: notes = 100100010101, scaleid = E58, rotationid = 1, modeid = E255, inverse = E047, scalename = 34221
 520: notes = 100010101100, scaleid = E58, rotationid = 2, modeid = E280, inverse = E212, scalename = 42213
 521: notes = 101011001000, scaleid = E58, rotationid = 3, modeid = E151, inverse = E287, scalename = 22134
 522: notes = 101100100010, scaleid = E58, rotationid = 4, modeid = E137, inverse = E192, scalename = 21342
 523: notes = 110001100010, scaleid = E59, rotationid = 0, modeid = E089, inverse = E188, scalename = 14142
 524: notes = 100011000101, scaleid = E59, rotationid = 1, modeid = E274, inverse = E055, scalename = 41421
 525: notes = 110001011000, scaleid = E59, rotationid = 2, modeid = E091, inverse = E269, scalename = 14214
 526: notes = 100010110001, scaleid = E59, rotationid = 3, modeid = E279, inverse = E087, scalename = 42141
 527: notes = 101100011000, scaleid = E59, rotationid = 4, modeid = E139, inverse = E273, scalename = 21414
 528: notes = 110001010100, scaleid = E60, rotationid = 0, modeid = E092, inverse = E234, scalename = 14223
 529: notes = 100010101001, scaleid = E60, rotationid = 1, modeid = E282, inverse = E072, scalename = 42231
 530: notes = 101010011000, scaleid = E60, rotationid = 2, modeid = E160, inverse = E271, scalename = 22314
 531: notes = 101001100010, scaleid = E60, rotationid = 3, modeid = E173, inverse = E187, scalename = 23142
 532: notes = 100110001010, scaleid = E60, rotationid = 4, modeid = E221, inverse = E164, scalename = 31422
 533: notes = 110001010010, scaleid = E61, rotationid = 0, modeid = E093, inverse = E178, scalename = 14232
 534: notes = 100010100101, scaleid = E61, rotationid = 1, modeid = E284, inverse = E051, scalename = 42321
 535: notes = 101001011000, scaleid = E61, rotationid = 2, modeid = E175, inverse = E268, scalename = 23214
 536: notes = 100101100010, scaleid = E61, rotationid = 3, modeid = E229, inverse = E186, scalename = 32142
 537: notes = 101100010100, scaleid = E61, rotationid = 4, modeid = E140, inverse = E238, scalename = 21423
 538: notes = 110001001010, scaleid = E62, rotationid = 0, modeid = E096, inverse = E163, scalename = 14322
 539: notes = 100010010101, scaleid = E62, rotationid = 1, modeid = E290, inverse = E046, scalename = 43221
 540: notes = 100101011000, scaleid = E62, rotationid = 2, modeid = E231, inverse = E267, scalename = 32214
 541: notes = 101011000100, scaleid = E62, rotationid = 3, modeid = E152, inverse = E252, scalename = 22143
 542: notes = 101100010010, scaleid = E62, rotationid = 4, modeid = E141, inverse = E182, scalename = 21432
 543: notes = 110000101010, scaleid = E63, rotationid = 0, modeid = E106, inverse = E159, scalename = 15222
 544: notes = 100001010101, scaleid = E63, rotationid = 1, modeid = E310, inverse = E045, scalename = 52221
 545: notes = 101010110000, scaleid = E63, rotationid = 2, modeid = E155, inverse = E301, scalename = 22215
 546: notes = 101011000010, scaleid = E63, rotationid = 3, modeid = E153, inverse = E196, scalename = 22152
 547: notes = 101100001010, scaleid = E63, rotationid = 4, modeid = E144, inverse = E167, scalename = 21522
 548: notes = 101010101000, scaleid = E64, rotationid = 0, modeid = E156, inverse = E281, scalename = 22224
 549: notes = 101010100010, scaleid = E64, rotationid = 1, modeid = E158, inverse = E190, scalename = 22242
 550: notes = 101010001010, scaleid = E64, rotationid = 2, modeid = E165, inverse = E165, scalename = 22422
 551: notes = 101000101010, scaleid = E64, rotationid = 3, modeid = E190, inverse = E158, scalename = 24222
 552: notes = 100010101010, scaleid = E64, rotationid = 4, modeid = E281, inverse = E156, scalename = 42222
 553: notes = 101010100100, scaleid = E65, rotationid = 0, modeid = E157, inverse = E246, scalename = 22233
 554: notes = 101010010010, scaleid = E65, rotationid = 1, modeid = E162, inverse = E180, scalename = 22332
 555: notes = 101001001010, scaleid = E65, rotationid = 2, modeid = E180, inverse = E162, scalename = 23322
 556: notes = 100100101010, scaleid = E65, rotationid = 3, modeid = E246, inverse = E157, scalename = 33222
 557: notes = 100101010100, scaleid = E65, rotationid = 4, modeid = E232, inverse = E232, scalename = 32223
 558: notes = 101010010100, scaleid = E66, rotationid = 0, modeid = E161, inverse = E236, scalename = 22323
 559: notes = 101001010010, scaleid = E66, rotationid = 1, modeid = E177, inverse = E177, scalename = 23232
 560: notes = 100101001010, scaleid = E66, rotationid = 2, modeid = E236, inverse = E161, scalename = 32322
 561: notes = 101001010100, scaleid = E66, rotationid = 3, modeid = E176, inverse = E233, scalename = 23223
 562: notes = 100101010010, scaleid = E66, rotationid = 4, modeid = E233, inverse = E176, scalename = 32232
 563: notes = 111111000000, scaleid = F01, rotationid = 0, modeid = F001, inverse = F462, scalename = 111117
 564: notes = 111110000001, scaleid = F01, rotationid = 1, modeid = F007, inverse = F210, scalename = 111171
 565: notes = 111100000011, scaleid = F01, rotationid = 2, modeid = F028, inverse = F084, scalename = 111711
 566: notes = 111000000111, scaleid = F01, rotationid = 3, modeid = F084, inverse = F028, scalename = 117111
 567: notes = 110000001111, scaleid = F01, rotationid = 4, modeid = F210, inverse = F007, scalename = 171111
 568: notes = 100000011111, scaleid = F01, rotationid = 5, modeid = F462, inverse = F001, scalename = 711111
 569: notes = 111110100000, scaleid = F02, rotationid = 0, modeid = F002, inverse = F461, scalename = 111126
 570: notes = 111101000001, scaleid = F02, rotationid = 1, modeid = F013, inverse = F209, scalename = 111261
 571: notes = 111010000011, scaleid = F02, rotationid = 2, modeid = F049, inverse = F083, scalename = 112611
 572: notes = 110100000111, scaleid = F02, rotationid = 3, modeid = F140, inverse = F027, scalename = 126111
 573: notes = 101000001111, scaleid = F02, rotationid = 4, modeid = F336, inverse = F006, scalename = 261111
 574: notes = 100000111110, scaleid = F02, rotationid = 5, modeid = F457, inverse = F211, scalename = 611112
 575: notes = 111110010000, scaleid = F03, rotationid = 0, modeid = F003, inverse = F456, scalename = 111135
 576: notes = 111100100001, scaleid = F03, rotationid = 1, modeid = F018, inverse = F205, scalename = 111351
 577: notes = 111001000011, scaleid = F03, rotationid = 2, modeid = F064, inverse = F080, scalename = 113511
 578: notes = 110010000111, scaleid = F03, rotationid = 3, modeid = F175, inverse = F025, scalename = 135111
 579: notes = 100100001111, scaleid = F03, rotationid = 4, modeid = F406, inverse = F005, scalename = 351111
 580: notes = 100001111100, scaleid = F03, rotationid = 5, modeid = F442, inverse = F337, scalename = 511113
 581: notes = 111110001000, scaleid = F04, rotationid = 0, modeid = F004, inverse = F441, scalename = 111144
 582: notes = 111100010001, scaleid = F04, rotationid = 1, modeid = F022, inverse = F195, scalename = 111441
 583: notes = 111000100011, scaleid = F04, rotationid = 2, modeid = F074, inverse = F074, scalename = 114411
 584: notes = 110001000111, scaleid = F04, rotationid = 3, modeid = F195, inverse = F022, scalename = 144111
 585: notes = 100010001111, scaleid = F04, rotationid = 4, modeid = F441, inverse = F004, scalename = 441111
 586: notes = 100011111000, scaleid = F04, rotationid = 5, modeid = F407, inverse = F407, scalename = 411114
 587: notes = 111110000100, scaleid = F05, rotationid = 0, modeid = F005, inverse = F406, scalename = 111153
 588: notes = 111100001001, scaleid = F05, rotationid = 1, modeid = F025, inverse = F175, scalename = 111531
 589: notes = 111000010011, scaleid = F05, rotationid = 2, modeid = F080, inverse = F064, scalename = 115311
 590: notes = 110000100111, scaleid = F05, rotationid = 3, modeid = F205, inverse = F018, scalename = 153111
 591: notes = 100001001111, scaleid = F05, rotationid = 4, modeid = F456, inverse = F003, scalename = 531111
 592: notes = 100111110000, scaleid = F05, rotationid = 5, modeid = F337, inverse = F442, scalename = 311115
 593: notes = 111110000010, scaleid = F06, rotationid = 0, modeid = F006, inverse = F336, scalename = 111162
 594: notes = 111100000101, scaleid = F06, rotationid = 1, modeid = F027, inverse = F140, scalename = 111621
 595: notes = 111000001011, scaleid = F06, rotationid = 2, modeid = F083, inverse = F049, scalename = 116211
 596: notes = 110000010111, scaleid = F06, rotationid = 3, modeid = F209, inverse = F013, scalename = 162111
 597: notes = 100000101111, scaleid = F06, rotationid = 4, modeid = F461, inverse = F002, scalename = 621111
 598: notes = 101111100000, scaleid = F06, rotationid = 5, modeid = F211, inverse = F457, scalename = 211116
 599: notes = 111101100000, scaleid = F07, rotationid = 0, modeid = F008, inverse = F460, scalename = 111216
 600: notes = 111011000001, scaleid = F07, rotationid = 1, modeid = F034, inverse = F208, scalename = 112161
 601: notes = 110110000011, scaleid = F07, rotationid = 2, modeid = F105, inverse = F082, scalename = 121611
 602: notes = 101100000111, scaleid = F07, rotationid = 3, modeid = F266, inverse = F026, scalename = 216111
 603: notes = 110000011110, scaleid = F07, rotationid = 4, modeid = F206, inverse = F216, scalename = 161112
 604: notes = 100000111101, scaleid = F07, rotationid = 5, modeid = F458, inverse = F085, scalename = 611121
 605: notes = 111101010000, scaleid = F08, rotationid = 0, modeid = F009, inverse = F455, scalename = 111225
 606: notes = 111010100001, scaleid = F08, rotationid = 1, modeid = F039, inverse = F204, scalename = 112251
 607: notes = 110101000011, scaleid = F08, rotationid = 2, modeid = F120, inverse = F079, scalename = 122511
 608: notes = 101010000111, scaleid = F08, rotationid = 3, modeid = F301, inverse = F024, scalename = 225111
 609: notes = 101000011110, scaleid = F08, rotationid = 4, modeid = F332, inverse = F215, scalename = 251112
 610: notes = 100001111010, scaleid = F08, rotationid = 5, modeid = F443, inverse = F267, scalename = 511122
 611: notes = 111101001000, scaleid = F09, rotationid = 0, modeid = F010, inverse = F440, scalename = 111234
 612: notes = 111010010001, scaleid = F09, rotationid = 1, modeid = F043, inverse = F194, scalename = 112341
 613: notes = 110100100011, scaleid = F09, rotationid = 2, modeid = F130, inverse = F073, scalename = 123411
 614: notes = 101001000111, scaleid = F09, rotationid = 3, modeid = F321, inverse = F021, scalename = 234111
 615: notes = 100100011110, scaleid = F09, rotationid = 4, modeid = F402, inverse = F214, scalename = 341112
 616: notes = 100011110100, scaleid = F09, rotationid = 5, modeid = F408, inverse = F372, scalename = 411123
 617: notes = 111101000100, scaleid = F10, rotationid = 0, modeid = F011, inverse = F405, scalename = 111243
 618: notes = 111010001001, scaleid = F10, rotationid = 1, modeid = F046, inverse = F174, scalename = 112431
 619: notes = 110100010011, scaleid = F10, rotationid = 2, modeid = F136, inverse = F063, scalename = 124311
 620: notes = 101000100111, scaleid = F10, rotationid = 3, modeid = F331, inverse = F017, scalename = 243111
 621: notes = 100010011110, scaleid = F10, rotationid = 4, modeid = F437, inverse = F213, scalename = 431112
 622: notes = 100111101000, scaleid = F10, rotationid = 5, modeid = F338, inverse = F427, scalename = 311124
 623: notes = 111101000010, scaleid = F11, rotationid = 0, modeid = F012, inverse = F335, scalename = 111252
 624: notes = 111010000101, scaleid = F11, rotationid = 1, modeid = F048, inverse = F139, scalename = 112521
 625: notes = 110100001011, scaleid = F11, rotationid = 2, modeid = F139, inverse = F048, scalename = 125211
 626: notes = 101000010111, scaleid = F11, rotationid = 3, modeid = F335, inverse = F012, scalename = 252111
 627: notes = 100001011110, scaleid = F11, rotationid = 4, modeid = F452, inverse = F212, scalename = 521112
 628: notes = 101111010000, scaleid = F11, rotationid = 5, modeid = F212, inverse = F452, scalename = 211125
 629: notes = 111100110000, scaleid = F12, rotationid = 0, modeid = F014, inverse = F451, scalename = 111315
 630: notes = 111001100001, scaleid = F12, rotationid = 1, modeid = F054, inverse = F201, scalename = 113151
 631: notes = 110011000011, scaleid = F12, rotationid = 2, modeid = F155, inverse = F077, scalename = 131511
 632: notes = 100110000111, scaleid = F12, rotationid = 3, modeid = F371, inverse = F023, scalename = 315111
 633: notes = 110000111100, scaleid = F12, rotationid = 4, modeid = F196, inverse = F341, scalename = 151113
 634: notes = 100001111001, scaleid = F12, rotationid = 5, modeid = F444, inverse = F141, scalename = 511131
 635: notes = 111100101000, scaleid = F13, rotationid = 0, modeid = F015, inverse = F436, scalename = 111324
 636: notes = 111001010001, scaleid = F13, rotationid = 1, modeid = F058, inverse = F191, scalename = 113241
 637: notes = 110010100011, scaleid = F13, rotationid = 2, modeid = F165, inverse = F071, scalename = 132411
 638: notes = 100101000111, scaleid = F13, rotationid = 3, modeid = F391, inverse = F020, scalename = 324111
 639: notes = 101000111100, scaleid = F13, rotationid = 4, modeid = F322, inverse = F340, scalename = 241113
 640: notes = 100011110010, scaleid = F13, rotationid = 5, modeid = F409, inverse = F302, scalename = 411132
 641: notes = 111100100100, scaleid = F14, rotationid = 0, modeid = F016, inverse = F401, scalename = 111333
 642: notes = 111001001001, scaleid = F14, rotationid = 1, modeid = F061, inverse = F171, scalename = 113331
 643: notes = 110010010011, scaleid = F14, rotationid = 2, modeid = F171, inverse = F061, scalename = 133311
 644: notes = 100100100111, scaleid = F14, rotationid = 3, modeid = F401, inverse = F016, scalename = 333111
 645: notes = 100100111100, scaleid = F14, rotationid = 4, modeid = F392, inverse = F339, scalename = 331113
 646: notes = 100111100100, scaleid = F14, rotationid = 5, modeid = F339, inverse = F392, scalename = 311133
 647: notes = 111100100010, scaleid = F15, rotationid = 0, modeid = F017, inverse = F331, scalename = 111342
 648: notes = 111001000101, scaleid = F15, rotationid = 1, modeid = F063, inverse = F136, scalename = 113421
 649: notes = 110010001011, scaleid = F15, rotationid = 2, modeid = F174, inverse = F046, scalename = 134211
 650: notes = 100100010111, scaleid = F15, rotationid = 3, modeid = F405, inverse = F011, scalename = 342111
 651: notes = 100010111100, scaleid = F15, rotationid = 4, modeid = F427, inverse = F338, scalename = 421113
 652: notes = 101111001000, scaleid = F15, rotationid = 5, modeid = F213, inverse = F437, scalename = 211134
 653: notes = 111100011000, scaleid = F16, rotationid = 0, modeid = F019, inverse = F426, scalename = 111414
 654: notes = 111000110001, scaleid = F16, rotationid = 1, modeid = F068, inverse = F185, scalename = 114141
 655: notes = 110001100011, scaleid = F16, rotationid = 2, modeid = F185, inverse = F068, scalename = 141411
 656: notes = 100011000111, scaleid = F16, rotationid = 3, modeid = F426, inverse = F019, scalename = 414111
 657: notes = 110001111000, scaleid = F16, rotationid = 4, modeid = F176, inverse = F410, scalename = 141114
 658: notes = 100011110001, scaleid = F16, rotationid = 5, modeid = F410, inverse = F176, scalename = 411141
 659: notes = 111100010100, scaleid = F17, rotationid = 0, modeid = F020, inverse = F391, scalename = 111423
 660: notes = 111000101001, scaleid = F17, rotationid = 1, modeid = F071, inverse = F165, scalename = 114231
 661: notes = 110001010011, scaleid = F17, rotationid = 2, modeid = F191, inverse = F058, scalename = 142311
 662: notes = 100010100111, scaleid = F17, rotationid = 3, modeid = F436, inverse = F015, scalename = 423111
 663: notes = 101001111000, scaleid = F17, rotationid = 4, modeid = F302, inverse = F409, scalename = 231114
 664: notes = 100111100010, scaleid = F17, rotationid = 5, modeid = F340, inverse = F322, scalename = 311142
 665: notes = 111100010010, scaleid = F18, rotationid = 0, modeid = F021, inverse = F321, scalename = 111432
 666: notes = 111000100101, scaleid = F18, rotationid = 1, modeid = F073, inverse = F130, scalename = 114321
 667: notes = 110001001011, scaleid = F18, rotationid = 2, modeid = F194, inverse = F043, scalename = 143211
 668: notes = 100010010111, scaleid = F18, rotationid = 3, modeid = F440, inverse = F010, scalename = 432111
 669: notes = 100101111000, scaleid = F18, rotationid = 4, modeid = F372, inverse = F408, scalename = 321114
 670: notes = 101111000100, scaleid = F18, rotationid = 5, modeid = F214, inverse = F402, scalename = 211143
 671: notes = 111100001100, scaleid = F19, rotationid = 0, modeid = F023, inverse = F371, scalename = 111513
 672: notes = 111000011001, scaleid = F19, rotationid = 1, modeid = F077, inverse = F155, scalename = 115131
 673: notes = 110000110011, scaleid = F19, rotationid = 2, modeid = F201, inverse = F054, scalename = 151311
 674: notes = 100001100111, scaleid = F19, rotationid = 3, modeid = F451, inverse = F014, scalename = 513111
 675: notes = 110011110000, scaleid = F19, rotationid = 4, modeid = F141, inverse = F444, scalename = 131115
 676: notes = 100111100001, scaleid = F19, rotationid = 5, modeid = F341, inverse = F196, scalename = 311151
 677: notes = 111100001010, scaleid = F20, rotationid = 0, modeid = F024, inverse = F301, scalename = 111522
 678: notes = 111000010101, scaleid = F20, rotationid = 1, modeid = F079, inverse = F120, scalename = 115221
 679: notes = 110000101011, scaleid = F20, rotationid = 2, modeid = F204, inverse = F039, scalename = 152211
 680: notes = 100001010111, scaleid = F20, rotationid = 3, modeid = F455, inverse = F009, scalename = 522111
 681: notes = 101011110000, scaleid = F20, rotationid = 4, modeid = F267, inverse = F443, scalename = 221115
 682: notes = 101111000010, scaleid = F20, rotationid = 5, modeid = F215, inverse = F332, scalename = 211152
 683: notes = 111100000110, scaleid = F21, rotationid = 0, modeid = F026, inverse = F266, scalename = 111612
 684: notes = 111000001101, scaleid = F21, rotationid = 1, modeid = F082, inverse = F105, scalename = 116121
 685: notes = 110000011011, scaleid = F21, rotationid = 2, modeid = F208, inverse = F034, scalename = 161211
 686: notes = 100000110111, scaleid = F21, rotationid = 3, modeid = F460, inverse = F008, scalename = 612111
 687: notes = 110111100000, scaleid = F21, rotationid = 4, modeid = F085, inverse = F458, scalename = 121116
 688: notes = 101111000001, scaleid = F21, rotationid = 5, modeid = F216, inverse = F206, scalename = 211161
 689: notes = 111011100000, scaleid = F22, rotationid = 0, modeid = F029, inverse = F459, scalename = 112116
 690: notes = 110111000001, scaleid = F22, rotationid = 1, modeid = F090, inverse = F207, scalename = 121161
 691: notes = 101110000011, scaleid = F22, rotationid = 2, modeid = F231, inverse = F081, scalename = 211611
 692: notes = 111000001110, scaleid = F22, rotationid = 3, modeid = F081, inverse = F231, scalename = 116112
 693: notes = 110000011101, scaleid = F22, rotationid = 4, modeid = F207, inverse = F090, scalename = 161121
 694: notes = 100000111011, scaleid = F22, rotationid = 5, modeid = F459, inverse = F029, scalename = 611211
 695: notes = 111011010000, scaleid = F23, rotationid = 0, modeid = F030, inverse = F454, scalename = 112125
 696: notes = 110110100001, scaleid = F23, rotationid = 1, modeid = F095, inverse = F203, scalename = 121251
 697: notes = 101101000011, scaleid = F23, rotationid = 2, modeid = F246, inverse = F078, scalename = 212511
 698: notes = 110100001110, scaleid = F23, rotationid = 3, modeid = F137, inverse = F230, scalename = 125112
 699: notes = 101000011101, scaleid = F23, rotationid = 4, modeid = F333, inverse = F089, scalename = 251121
 700: notes = 100001110110, scaleid = F23, rotationid = 5, modeid = F445, inverse = F232, scalename = 511212
 701: notes = 111011001000, scaleid = F24, rotationid = 0, modeid = F031, inverse = F439, scalename = 112134
 702: notes = 110110010001, scaleid = F24, rotationid = 1, modeid = F099, inverse = F193, scalename = 121341
 703: notes = 101100100011, scaleid = F24, rotationid = 2, modeid = F256, inverse = F072, scalename = 213411
 704: notes = 110010001110, scaleid = F24, rotationid = 3, modeid = F172, inverse = F228, scalename = 134112
 705: notes = 100100011101, scaleid = F24, rotationid = 4, modeid = F403, inverse = F088, scalename = 341121
 706: notes = 100011101100, scaleid = F24, rotationid = 5, modeid = F411, inverse = F352, scalename = 411213
 707: notes = 111011000100, scaleid = F25, rotationid = 0, modeid = F032, inverse = F404, scalename = 112143
 708: notes = 110110001001, scaleid = F25, rotationid = 1, modeid = F102, inverse = F173, scalename = 121431
 709: notes = 101100010011, scaleid = F25, rotationid = 2, modeid = F262, inverse = F062, scalename = 214311
 710: notes = 110001001110, scaleid = F25, rotationid = 3, modeid = F192, inverse = F225, scalename = 143112
 711: notes = 100010011101, scaleid = F25, rotationid = 4, modeid = F438, inverse = F087, scalename = 431121
 712: notes = 100111011000, scaleid = F25, rotationid = 5, modeid = F342, inverse = F417, scalename = 311214
 713: notes = 111011000010, scaleid = F26, rotationid = 0, modeid = F033, inverse = F334, scalename = 112152
 714: notes = 110110000101, scaleid = F26, rotationid = 1, modeid = F104, inverse = F138, scalename = 121521
 715: notes = 101100001011, scaleid = F26, rotationid = 2, modeid = F265, inverse = F047, scalename = 215211
 716: notes = 110000101110, scaleid = F26, rotationid = 3, modeid = F202, inverse = F221, scalename = 152112
 717: notes = 100001011101, scaleid = F26, rotationid = 4, modeid = F453, inverse = F086, scalename = 521121
 718: notes = 101110110000, scaleid = F26, rotationid = 5, modeid = F217, inverse = F448, scalename = 211215
 719: notes = 111010110000, scaleid = F27, rotationid = 0, modeid = F035, inverse = F450, scalename = 112215
 720: notes = 110101100001, scaleid = F27, rotationid = 1, modeid = F110, inverse = F200, scalename = 122151
 721: notes = 101011000011, scaleid = F27, rotationid = 2, modeid = F281, inverse = F076, scalename = 221511
 722: notes = 101100001110, scaleid = F27, rotationid = 3, modeid = F263, inverse = F229, scalename = 215112
 723: notes = 110000111010, scaleid = F27, rotationid = 4, modeid = F197, inverse = F271, scalename = 151122
 724: notes = 100001110101, scaleid = F27, rotationid = 5, modeid = F446, inverse = F106, scalename = 511221
 725: notes = 111010101000, scaleid = F28, rotationid = 0, modeid = F036, inverse = F435, scalename = 112224
 726: notes = 110101010001, scaleid = F28, rotationid = 1, modeid = F114, inverse = F190, scalename = 122241
 727: notes = 101010100011, scaleid = F28, rotationid = 2, modeid = F291, inverse = F070, scalename = 222411
 728: notes = 101010001110, scaleid = F28, rotationid = 3, modeid = F298, inverse = F227, scalename = 224112
 729: notes = 101000111010, scaleid = F28, rotationid = 4, modeid = F323, inverse = F270, scalename = 241122
 730: notes = 100011101010, scaleid = F28, rotationid = 5, modeid = F412, inverse = F282, scalename = 411222
 731: notes = 111010100100, scaleid = F29, rotationid = 0, modeid = F037, inverse = F400, scalename = 112233
 732: notes = 110101001001, scaleid = F29, rotationid = 1, modeid = F117, inverse = F170, scalename = 122331
 733: notes = 101010010011, scaleid = F29, rotationid = 2, modeid = F297, inverse = F060, scalename = 223311
 734: notes = 101001001110, scaleid = F29, rotationid = 3, modeid = F318, inverse = F224, scalename = 233112
 735: notes = 100100111010, scaleid = F29, rotationid = 4, modeid = F393, inverse = F269, scalename = 331122
 736: notes = 100111010100, scaleid = F29, rotationid = 5, modeid = F343, inverse = F382, scalename = 311223
 737: notes = 111010100010, scaleid = F30, rotationid = 0, modeid = F038, inverse = F330, scalename = 112242
 738: notes = 110101000101, scaleid = F30, rotationid = 1, modeid = F119, inverse = F135, scalename = 122421
 739: notes = 101010001011, scaleid = F30, rotationid = 2, modeid = F300, inverse = F045, scalename = 224211
 740: notes = 101000101110, scaleid = F30, rotationid = 3, modeid = F328, inverse = F220, scalename = 242112
 741: notes = 100010111010, scaleid = F30, rotationid = 4, modeid = F428, inverse = F268, scalename = 421122
 742: notes = 101110101000, scaleid = F30, rotationid = 5, modeid = F218, inverse = F433, scalename = 211224
 743: notes = 111010011000, scaleid = F31, rotationid = 0, modeid = F040, inverse = F425, scalename = 112314
 744: notes = 110100110001, scaleid = F31, rotationid = 1, modeid = F124, inverse = F184, scalename = 123141
